2020 National Employment Matrix title,Typical education needed for entry,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associates degree,Bachelors degree,Masters degree,Doctoral or professional degree
"Foreign language and literature teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"History teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Philosophy and religion teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Family and consumer sciences teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Recreation and fitness studies teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Career/technical education teachers, postsecondary(1)",Bachelors degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Postsecondary teachers, all other(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Preschool teachers, except special education(1)",Associates degree,1.5,12.5,20.5,13.5,35.3,15.4,1.2
"Kindergarten teachers, except special education(1)",Bachelors degree,1.5,12.5,20.5,13.5,35.3,15.4,1.2
"Elementary school teachers, except special education(1)",Bachelors degree,0.0,0.0,3.1,2.3,43.6,46.8,4.2
"Middle school teachers, except special and career/technical education(1)",Bachelors degree,0.0,0.0,3.1,2.3,43.6,46.8,4.2
"Career/technical education teachers, middle school(1)",Bachelors degree,0.0,0.0,3.1,2.3,43.6,46.8,4.2
"Secondary school teachers, except special and career/technical education(1)",Bachelors degree,0.0,0.0,2.2,1.5,40.2,51.0,5.0
"Career/technical education teachers, secondary school(1)",Bachelors degree,0.0,0.0,2.2,1.5,40.2,51.0,5.0
"Special education teachers, preschool(1)",Bachelors degree,0.3,3.9,5.3,3.5,33.4,50.1,3.5
"Special education teachers, kindergarten and elementary school(1)",Bachelors degree,0.3,3.9,5.3,3.5,33.4,50.1,3.5
"Special education teachers, middle school(1)",Bachelors degree,0.3,3.9,5.3,3.5,33.4,50.1,3.5
"Special education teachers, secondary school(1)",Bachelors degree,0.3,3.9,5.3,3.5,33.4,50.1,3.5
"Special education teachers, all other(1)",Bachelors degree,0.3,3.9,5.3,3.5,33.4,50.1,3.5
"Adult basic education, adult secondary education, and English as a Second Language instructors(1)",Bachelors degree,2.0,10.9,17.7,8.6,36.0,20.2,4.6
Self-enrichment teachers(1),High school diploma or equivalent,2.0,10.9,17.7,8.6,36.0,20.2,4.6
"Substitute teachers, short-term(1)",Bachelors degree,2.0,10.9,17.7,8.6,36.0,20.2,4.6
"Tutors and teachers and instructors, all other(1)",Bachelors degree,1.9,9.9,16.6,8.4,37.1,21.5,4.7
Archivists(1),Masters degree,1.6,6.1,9.1,4.0,36.1,36.3,6.8
Curators(1),Masters degree,1.6,6.1,9.1,4.0,36.1,36.3,6.8
Museum technicians and conservators(1),Bachelors degree,1.6,6.1,9.1,4.0,36.1,36.3,6.8
Librarians and media collections specialists,Masters degree,0.2,2.0,7.5,4.4,23.0,57.7,5.2
Library technicians,Postsecondary nondegree award,2.0,31.8,18.5,8.1,27.5,11.0,1.0
Farm and home management educators(1),Masters degree,0.7,4.1,7.6,4.5,28.0,45.6,9.4
Instructional coordinators(1),Masters degree,0.7,4.1,7.6,4.5,28.0,45.6,9.4
"Teaching assistants, postsecondary(1)",Bachelors degree,4.2,25.7,24.4,14.4,22.8,7.1,1.4
"Teaching assistants, except postsecondary(1)","Some college, no degree",4.2,25.7,24.4,14.4,22.8,7.1,1.4
"Educational instruction and library workers, all other(1)",Bachelors degree,0.7,4.1,7.6,4.5,28.0,45.6,9.4
Art directors(1),Bachelors degree,2.7,11.6,18.9,8.2,43.6,13.4,1.6
Craft artists(1),No formal educational credential,2.7,11.6,18.9,8.2,43.6,13.4,1.6
"Fine artists, including painters, sculptors, and illustrators(1)",Bachelors degree,2.7,11.6,18.9,8.2,43.6,13.4,1.6
Special effects artists and animators(1),Bachelors degree,2.7,11.6,18.9,8.2,43.6,13.4,1.6
"Artists and related workers, all other(1)",No formal educational credential,2.7,11.6,18.9,8.2,43.6,13.4,1.6
Commercial and industrial designers,Bachelors degree,2.0,5.2,14.9,5.5,58.7,12.5,1.2
Fashion designers,Bachelors degree,2.9,7.0,12.5,13.8,54.8,7.7,1.4
Floral designers,High school diploma or equivalent,10.2,36.1,22.3,10.1,17.6,3.0,0.7
Graphic designers,Bachelors degree,1.3,5.4,13.8,12.3,58.8,7.1,1.3
Interior designers,Bachelors degree,1.2,6.3,14.4,12.2,54.0,9.5,2.4
Merchandise displayers and window trimmers,High school diploma or equivalent,3.8,31.4,26.9,7.2,24.9,5.2,0.6
Set and exhibit designers(1),Bachelors degree,1.8,7.6,16.1,13.1,45.6,13.4,2.5
"Designers, all other(1)",Bachelors degree,1.8,7.6,16.1,13.1,45.6,13.4,2.5
Actors,"Some college, no degree",2.1,14.0,16.5,5.4,47.9,13.2,0.9
Producers and directors,Bachelors degree,0.5,5.3,13.1,5.6,58.3,15.0,2.1
Athletes and sports competitors,No formal educational credential,2.3,13.7,20.6,9.7,47.8,4.7,1.2
Coaches and scouts,Bachelors degree,1.4,9.8,16.6,6.3,40.4,22.9,2.6
"Umpires, referees, and other sports officials",High school diploma or equivalent,4.3,13.8,24.6,8.1,27.3,17.9,4.0
Dancers(1),No formal educational credential,4.4,36.9,21.6,7.7,24.1,4.9,0.5
Choreographers(1),High school diploma or equivalent,4.4,36.9,21.6,7.7,24.1,4.9,0.5
Music directors and composers,Bachelors degree,1.4,7.9,15.3,4.3,41.4,24.8,4.9
Musicians and singers,No formal educational credential,4.6,13.1,22.2,5.7,30.3,19.5,4.6
"Miscellaneous entertainers and performers, sports and related workers(1)",No formal educational credential,3.6,21.3,26.6,6.8,32.7,6.3,2.8
Broadcast announcers and radio disc jockeys,Bachelors degree,2.2,12.9,21.7,10.6,42.3,9.1,1.3
"News analysts, reporters, and journalists",Bachelors degree,0.8,2.6,7.9,3.9,60.0,21.3,3.5
Public relations specialists,Bachelors degree,0.3,3.2,8.4,4.7,56.5,22.7,4.2
Editors,Bachelors degree,1.1,3.4,8.5,4.0,54.3,23.2,5.5
Technical writers,Bachelors degree,0.5,4.8,9.9,7.1,46.6,22.8,8.2
Writers and authors,Bachelors degree,0.7,3.3,8.5,3.2,49.8,26.3,8.2
Interpreters and translators,Bachelors degree,2.3,9.3,19.5,13.3,34.8,16.8,4.1
Court reporters and simultaneous captioners,Postsecondary nondegree award,1.2,14.1,32.7,37.3,11.8,1.8,1.2
"Media and communication workers, all other",High school diploma or equivalent,1.0,7.0,18.5,7.9,46.3,17.7,1.5
Audio and video technicians(1),Postsecondary nondegree award,1.8,14.2,24.4,13.6,39.0,6.1,1.0
Broadcast technicians(1),Associates degree,1.8,14.2,24.4,13.6,39.0,6.1,1.0
Sound engineering technicians(1),Postsecondary nondegree award,1.8,14.2,24.4,13.6,39.0,6.1,1.0
Photographers,High school diploma or equivalent,1.9,11.5,22.0,11.9,44.0,7.7,1.1
"Camera operators, television, video, and film(1)",Bachelors degree,1.3,8.4,18.0,8.1,54.0,9.4,0.8
Film and video editors(1),Bachelors degree,1.3,8.4,18.0,8.1,54.0,9.4,0.8
"Lighting technicians and media and communication equipment workers, all other(1)",High school diploma or equivalent,1.8,14.2,24.4,13.6,39.0,6.1,1.0
Chiropractors,Doctoral or professional degree,0.2,1.4,1.3,0.6,4.9,2.4,89.2
"Dentists, general(1)",Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,2.5,97.5
Oral and maxillofacial surgeons(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,2.5,97.5
Orthodontists(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,2.5,97.5
Prosthodontists(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,2.5,97.5
"Dentists, all other specialists(1)",Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,2.5,97.5
Dietitians and nutritionists,Bachelors degree,2.3,9.4,6.4,3.7,41.6,29.6,6.9
Optometrists,Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,3.7,96.3
Pharmacists,Doctoral or professional degree,0.0,0.0,1.6,0.9,27.4,5.9,64.1
Physician assistants,Masters degree,0.8,2.7,2.7,3.1,17.1,58.4,15.3
Podiatrists,Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,2.3,97.7
Occupational therapists,Masters degree,0.4,0.6,0.9,4.5,35.0,52.9,5.7
Physical therapists,Doctoral or professional degree,0.4,1.0,0.9,2.9,28.1,23.0,43.8
Radiation therapists,Associates degree,0.2,0.8,8.3,34.7,45.0,7.7,3.3
Recreational therapists,Bachelors degree,2.2,15.5,9.7,4.8,53.2,12.9,1.8
Respiratory therapists,Associates degree,0.8,2.7,10.5,54.9,25.6,4.4,1.2
Speech-language pathologists,Masters degree,0.5,0.7,0.8,1.4,9.8,83.7,3.1
Exercise physiologists(1),Bachelors degree,0.4,2.9,3.6,5.6,24.4,56.0,7.1
"Therapists, all other(1)",Bachelors degree,0.4,2.9,3.6,5.6,24.4,56.0,7.1
Veterinarians,Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,2.5,97.5
Registered nurses,Bachelors degree,0.4,0.9,3.8,29.9,52.4,10.2,2.3
Nurse anesthetists,Masters degree,0.8,0.1,0.4,1.3,10.2,72.1,15.1
Nurse midwives(1),Masters degree,0.2,0.6,0.6,0.7,6.8,74.5,16.6
Nurse practitioners(1),Masters degree,0.2,0.6,0.6,0.7,6.8,74.5,16.6
Audiologists,Doctoral or professional degree,0.0,1.2,3.0,1.2,9.3,17.6,67.7
Anesthesiologists(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Family medicine physicians(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,0.0,100.0
General internal medicine physicians(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Obstetricians and gynecologists(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Pediatricians, general(1)",Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Psychiatrists(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Physicians, all other; and ophthalmologists, except pediatric(1)",Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Surgeons, except ophthalmologists(1)",Doctoral or professional degree,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Dental hygienists,Associates degree,0.6,2.7,8.3,50.5,32.0,3.0,2.7
"Acupuncturists and healthcare diagnosing or treating practitioners, all other(1)",Masters degree,1.3,2.0,8.6,2.8,18.1,39.7,27.6
Clinical laboratory technologists and technicians,Bachelors degree,1.3,10.3,21.7,18.6,38.0,6.9,3.3
Cardiovascular technologists and technicians,Associates degree,2.0,15.6,25.2,16.5,28.2,11.0,1.5
Diagnostic medical sonographers,Associates degree,1.2,4.3,12.6,35.7,36.1,7.1,3.0
Nuclear medicine technologists(1),Associates degree,2.6,2.4,6.8,19.8,52.2,13.4,2.8
Radiologic technologists and technicians,Associates degree,1.1,5.0,16.1,51.8,22.3,3.0,0.8
Magnetic resonance imaging technologists,Associates degree,1.4,6.9,11.5,36.9,33.3,8.4,1.7
Emergency medical technicians and paramedics(1),Postsecondary nondegree award,0.8,12.0,42.7,23.4,16.7,2.5,1.9
Dietetic technicians(1),Associates degree,8.8,38.7,26.7,13.8,10.4,1.1,0.5
Pharmacy technicians,High school diploma or equivalent,1.1,27.3,35.5,16.9,15.8,2.4,1.0
Psychiatric technicians,Postsecondary nondegree award,0.9,14.8,29.1,12.6,33.0,8.8,0.8
Surgical technologists,Postsecondary nondegree award,1.2,12.2,32.7,40.5,11.9,1.1,0.5
Veterinary technologists and technicians,Associates degree,1.7,15.7,23.5,32.8,22.6,2.3,1.3
Ophthalmic medical technicians(1),Postsecondary nondegree award,8.8,38.7,26.7,13.8,10.4,1.1,0.5
Licensed practical and licensed vocational nurses,Postsecondary nondegree award,1.4,22.2,53.7,17.7,3.9,0.7,0.5
"Opticians, dispensing",High school diploma or equivalent,2.3,25.2,32.1,17.5,19.5,1.8,1.6
Orthotists and prosthetists(1),Masters degree,2.2,17.9,30.5,17.9,22.2,6.1,3.1
Hearing aid specialists(1),High school diploma or equivalent,2.2,17.9,30.5,17.9,22.2,6.1,3.1
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other(1)",Postsecondary nondegree award,1.4,14.8,26.0,19.7,24.5,11.1,2.4
Athletic trainers(1),Bachelors degree,1.0,5.3,12.0,8.4,34.2,34.6,4.5
Genetic counselors(1),Masters degree,1.0,5.3,12.0,8.4,34.2,34.6,4.5
"Health information technologists, medical registrars, surgical assistants, and healthcare practitioners and technical workers, all other(1)",Postsecondary nondegree award,1.0,5.3,12.0,8.4,34.2,34.6,4.5
Home health and personal care aides(1),High school diploma or equivalent,16.4,35.8,25.6,9.1,10.1,2.3,0.7
Nursing assistants,Postsecondary nondegree award,10.0,36.6,32.9,11.4,7.3,1.1,0.6
Orderlies(1),High school diploma or equivalent,5.4,30.6,34.0,13.0,13.4,3.2,0.6
Psychiatric aides(1),High school diploma or equivalent,5.4,30.6,34.0,13.0,13.4,3.2,0.6
Occupational therapy assistants(1),Associates degree,2.2,12.3,16.0,48.6,16.3,4.0,0.5
Occupational therapy aides(1),High school diploma or equivalent,2.2,12.3,16.0,48.6,16.3,4.0,0.5
Physical therapist assistants(1),Associates degree,1.5,5.3,10.4,50.5,28.1,2.6,1.7
Physical therapist aides(1),High school diploma or equivalent,1.5,5.3,10.4,50.5,28.1,2.6,1.7
Massage therapists,Postsecondary nondegree award,3.0,20.6,33.2,18.5,19.3,3.4,1.9
Dental assistants,Postsecondary nondegree award,2.9,27.0,37.3,19.8,10.2,1.2,1.7
Medical assistants,Postsecondary nondegree award,2.0,20.3,39.9,24.6,10.2,1.9,1.2
Medical equipment preparers(1),High school diploma or equivalent,6.6,30.1,30.2,12.1,15.7,3.9,1.4
Medical transcriptionists,Postsecondary nondegree award,1.2,16.4,32.3,17.1,24.3,5.2,3.5
Pharmacy aides,High school diploma or equivalent,3.8,27.5,24.8,15.4,18.9,2.3,7.1
Veterinary assistants and laboratory animal caretakers,High school diploma or equivalent,4.0,23.9,27.8,13.0,27.1,3.2,1.0
Phlebotomists,Postsecondary nondegree award,2.0,24.6,42.8,18.1,10.8,1.5,0.2
"Healthcare support workers, all other(1)",High school diploma or equivalent,6.6,30.1,30.2,12.1,15.7,3.9,1.4
First-line supervisors of correctional officers,High school diploma or equivalent,1.5,25.1,31.1,12.7,22.7,6.6,0.4
First-line supervisors of police and detectives,High school diploma or equivalent,0.4,11.8,25.2,16.1,32.1,12.9,1.5
First-line supervisors of firefighting and prevention workers,Postsecondary nondegree award,0.7,12.3,31.3,22.0,25.3,7.7,0.7
"Miscellaneous first-line supervisors, protective service workers",High school diploma or equivalent,2.1,21.6,28.8,11.9,24.7,9.2,1.7
Firefighters,Postsecondary nondegree award,0.7,14.4,37.3,22.6,21.8,2.6,0.6
Fire inspectors and investigators(1),Postsecondary nondegree award,4.0,20.7,30.1,16.7,22.2,5.0,1.3
Forest fire inspectors and prevention specialists(1),High school diploma or equivalent,4.0,20.7,30.1,16.7,22.2,5.0,1.3
Bailiffs,High school diploma or equivalent,0.7,20.0,27.0,14.0,29.1,7.0,2.3
Correctional officers and jailers,High school diploma or equivalent,0.9,30.9,34.6,14.5,16.0,2.8,0.4
Detectives and criminal investigators,High school diploma or equivalent,0.5,8.5,20.9,11.2,41.5,14.7,2.7
Fish and game wardens(1),Bachelors degree,1.1,19.5,27.3,17.1,30.6,3.9,0.6
Parking enforcement workers(1),High school diploma or equivalent,1.1,19.5,27.3,17.1,30.6,3.9,0.6
Police and sheriff's patrol officers(1),High school diploma or equivalent,0.7,12.4,30.3,17.1,32.1,6.5,0.8
Transit and railroad police(1),High school diploma or equivalent,0.7,12.4,30.3,17.1,32.1,6.5,0.8
Animal control workers,High school diploma or equivalent,2.2,30.1,33.3,10.7,21.6,1.8,0.3
Private detectives and investigators,High school diploma or equivalent,0.6,11.8,20.1,11.4,38.2,14.1,3.8
Gambling surveillance officers and gambling investigators(1),High school diploma or equivalent,5.9,35.4,30.4,10.9,13.9,3.1,0.5
Security guards(1),High school diploma or equivalent,5.9,35.4,30.4,10.9,13.9,3.1,0.5
Crossing guards and flaggers,No formal educational credential,14.7,44.5,24.5,6.5,7.9,1.4,0.6
"Lifeguards, ski patrol, and other recreational protective service workers(1)",No formal educational credential,1.9,19.0,26.2,9.9,32.4,9.4,1.2
Transportation security screeners,High school diploma or equivalent,1.8,20.5,32.4,12.7,25.4,6.4,0.8
"School bus monitors and protective service workers, all other(1)",High school diploma or equivalent,9.5,33.1,24.9,9.1,17.6,5.1,0.6
Chefs and head cooks,High school diploma or equivalent,16.2,30.3,21.6,16.2,13.5,1.7,0.6
First-line supervisors of food preparation and serving workers,High school diploma or equivalent,11.3,36.3,27.9,9.6,12.8,1.7,0.4
"Cooks, fast food(1)",No formal educational credential,27.3,41.9,18.5,6.1,5.4,0.7,0.2
"Cooks, institution and cafeteria(1)",No formal educational credential,27.3,41.9,18.5,6.1,5.4,0.7,0.2
"Cooks, private household(1)",Postsecondary nondegree award,27.3,41.9,18.5,6.1,5.4,0.7,0.2
"Cooks, restaurant(1)",No formal educational credential,27.3,41.9,18.5,6.1,5.4,0.7,0.2
"Cooks, short order(1)",No formal educational credential,27.3,41.9,18.5,6.1,5.4,0.7,0.2
"Cooks, all other(1)",No formal educational credential,27.3,41.9,18.5,6.1,5.4,0.7,0.2
Food preparation workers,No formal educational credential,24.0,40.0,20.4,6.7,7.4,1.2,0.3
Bartenders,No formal educational credential,5.4,27.3,34.1,10.8,19.7,2.2,0.5
Fast food and counter workers,No formal educational credential,14.9,38.0,25.8,7.9,11.2,1.9,0.4
Waiters and waitresses,No formal educational credential,13.3,33.2,28.4,9.1,13.7,1.9,0.4
"Food servers, nonrestaurant",No formal educational credential,14.9,41.9,23.7,7.7,9.9,1.7,0.1
Dining room and cafeteria attendants and bartender helpers,No formal educational credential,22.1,42.5,19.4,7.0,7.8,1.0,0.3
Dishwashers,No formal educational credential,36.7,42.3,13.1,3.7,3.6,0.4,0.2
"Hosts and hostesses, restaurant, lounge, and coffee shop",No formal educational credential,10.7,32.5,27.2,11.1,15.3,2.5,0.7
"Food preparation and serving related workers, all other",No formal educational credential,15.9,35.7,33.2,3.9,10.2,1.2,0.0
First-line supervisors of housekeeping and janitorial workers,High school diploma or equivalent,13.2,39.7,24.0,8.3,12.3,2.0,0.5
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",High school diploma or equivalent,22.1,31.1,21.1,9.3,14.7,1.6,0.1
"Janitors and cleaners, except maids and housekeeping cleaners(1)",No formal educational credential,23.1,45.0,18.7,6.5,5.5,1.1,0.3
Maids and housekeeping cleaners,No formal educational credential,35.1,40.8,14.1,4.4,4.6,0.7,0.3
"Building cleaning workers, all other(1)",No formal educational credential,23.1,45.0,18.7,6.5,5.5,1.1,0.3
Pest control workers,High school diploma or equivalent,8.8,45.1,28.8,7.0,9.1,0.7,0.6
Landscaping and groundskeeping workers,No formal educational credential,35.5,36.0,15.6,4.8,6.6,1.2,0.2
"Pesticide handlers, sprayers, and applicators, vegetation(1)",High school diploma or equivalent,23.7,33.7,17.6,8.9,15.0,0.8,0.3
Tree trimmers and pruners,High school diploma or equivalent,32.5,40.6,12.3,5.1,7.8,1.3,0.4
"Grounds maintenance workers, all other(1)",No formal educational credential,23.7,33.7,17.6,8.9,15.0,0.8,0.3
First-line supervisors of gambling services workers(1),High school diploma or equivalent,5.3,30.8,29.1,10.3,19.9,3.6,0.9
"First-line supervisors of personal service and entertainment and recreation workers, except gambling services(1)",High school diploma or equivalent,6.5,34.2,29.5,10.7,15.5,3.1,0.6
Animal trainers,High school diploma or equivalent,7.5,25.2,23.4,8.3,29.6,4.8,1.2
Animal caretakers,High school diploma or equivalent,6.9,30.5,28.2,10.0,20.3,3.0,1.0
Gambling dealers(1),High school diploma or equivalent,9.1,34.3,28.3,9.8,15.8,1.9,0.8
Gambling and sports book writers and runners(1),High school diploma or equivalent,9.1,34.3,28.3,9.8,15.8,1.9,0.8
"Gambling service workers, all other(1)",High school diploma or equivalent,9.1,34.3,28.3,9.8,15.8,1.9,0.8
Motion picture projectionists(1),No formal educational credential,6.0,27.7,26.8,8.7,24.3,5.7,0.9
"Ushers, lobby attendants, and ticket takers",No formal educational credential,6.9,30.7,25.1,10.2,18.7,7.7,0.7
Amusement and recreation attendants(1),No formal educational credential,6.0,27.7,26.8,8.7,24.3,5.7,0.9
Costume attendants(1),High school diploma or equivalent,6.0,27.7,26.8,8.7,24.3,5.7,0.9
"Locker room, coatroom, and dressing room attendants(1)",High school diploma or equivalent,6.0,27.7,26.8,8.7,24.3,5.7,0.9
"Entertainment attendants and related workers, all other(1)",High school diploma or equivalent,6.0,27.7,26.8,8.7,24.3,5.7,0.9
