2020 National Employment Matrix title,Typical education needed for entry,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associates degree,Bachelors degree,Masters degree,Doctoral or professional degree
Tire repairers and changers(1),High school diploma or equivalent,20.7,47.0,19.9,5.7,5.6,1.0,0.1
Mechanical door repairers(1),High school diploma or equivalent,4.0,40.9,31.9,16.9,5.8,0.5,0.1
"Control and valve installers and repairers, except mechanical door(1)",High school diploma or equivalent,4.0,40.9,31.9,16.9,5.8,0.5,0.1
"Heating, air conditioning, and refrigeration mechanics and installers",Postsecondary nondegree award,10.6,40.1,29.1,14.4,4.8,0.9,0.2
Home appliance repairers,High school diploma or equivalent,13.7,38.6,29.0,10.6,6.8,0.6,0.7
Industrial machinery mechanics(1),High school diploma or equivalent,9.3,42.5,26.8,14.5,5.9,0.9,0.2
"Maintenance workers, machinery",High school diploma or equivalent,10.1,46.5,24.0,10.5,7.6,0.7,0.5
Millwrights,High school diploma or equivalent,7.0,45.5,27.9,13.1,5.2,1.1,0.2
"Refractory materials repairers, except brickmasons(1)",High school diploma or equivalent,9.3,42.5,26.8,14.5,5.9,0.9,0.2
Electrical power-line installers and repairers,High school diploma or equivalent,5.3,38.8,32.4,17.0,5.3,0.8,0.3
Telecommunications line installers and repairers,High school diploma or equivalent,5.8,38.3,31.8,12.8,9.6,1.5,0.2
Camera and photographic equipment repairers(1),High school diploma or equivalent,3.5,25.1,27.4,20.4,19.4,3.7,0.6
Medical equipment repairers(1),Associates degree,3.5,25.1,27.4,20.4,19.4,3.7,0.6
Musical instrument repairers and tuners(1),High school diploma or equivalent,3.5,25.1,27.4,20.4,19.4,3.7,0.6
Watch and clock repairers(1),High school diploma or equivalent,3.5,25.1,27.4,20.4,19.4,3.7,0.6
"Precision instrument and equipment repairers, all other(1)",High school diploma or equivalent,3.5,25.1,27.4,20.4,19.4,3.7,0.6
"Maintenance and repair workers, general",High school diploma or equivalent,11.6,41.2,26.4,12.1,7.4,1.0,0.2
Wind turbine service technicians(1),Postsecondary nondegree award,13.1,39.6,26.6,9.8,9.3,1.3,0.2
"Coin, vending, and amusement machine servicers and repairers",High school diploma or equivalent,9.1,41.9,30.0,10.0,7.3,1.1,0.7
Commercial divers(1),Postsecondary nondegree award,13.1,39.6,26.6,9.8,9.3,1.3,0.2
Locksmiths and safe repairers,High school diploma or equivalent,5.5,43.1,29.2,9.2,11.7,1.1,0.2
Manufactured building and mobile home installers(1),High school diploma or equivalent,13.1,39.6,26.6,9.8,9.3,1.3,0.2
Riggers,High school diploma or equivalent,6.8,45.2,25.9,9.6,12.1,0.5,0.0
Signal and track switch repairers(1),High school diploma or equivalent,13.1,39.6,26.6,9.8,9.3,1.3,0.2
"Helpers--installation, maintenance, and repair workers",High school diploma or equivalent,33.9,43.8,14.8,3.7,2.7,0.3,0.8
"Installation, maintenance, and repair workers, all other(1)",High school diploma or equivalent,13.1,39.6,26.6,9.8,9.3,1.3,0.2
First-line supervisors of production and operating workers,High school diploma or equivalent,10.0,38.5,25.6,9.1,13.2,3.1,0.6
"Aircraft structure, surfaces, rigging, and systems assemblers(1)",High school diploma or equivalent,16.4,46.1,23.0,7.6,5.9,0.8,0.2
"Coil winders, tapers, and finishers(1)",High school diploma or equivalent,17.7,45.0,21.0,7.5,7.2,1.1,0.5
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers(1)",High school diploma or equivalent,17.7,45.0,21.0,7.5,7.2,1.1,0.5
Engine and other machine assemblers,High school diploma or equivalent,13.0,46.4,31.2,5.2,4.2,0.0,0.0
Structural metal fabricators and fitters,High school diploma or equivalent,13.3,47.3,24.3,9.2,5.1,0.7,0.0
Fiberglass laminators and fabricators(1),High school diploma or equivalent,16.4,46.1,23.0,7.6,5.9,0.8,0.2
Timing device assemblers and adjusters(1),High school diploma or equivalent,16.4,46.1,23.0,7.6,5.9,0.8,0.2
Miscellaneous assemblers and fabricators(1),High school diploma or equivalent,16.4,46.1,23.0,7.6,5.9,0.8,0.2
Bakers,No formal educational credential,20.4,37.9,20.3,8.6,10.8,1.5,0.5
Butchers and meat cutters(1),No formal educational credential,29.5,43.7,17.8,4.5,3.8,0.6,0.1
"Meat, poultry, and fish cutters and trimmers(1)",No formal educational credential,29.5,43.7,17.8,4.5,3.8,0.6,0.1
Slaughterers and meat packers(1),No formal educational credential,29.5,43.7,17.8,4.5,3.8,0.6,0.1
"Food and tobacco roasting, baking, and drying machine operators and tenders",No formal educational credential,14.1,45.8,19.7,4.2,13.8,1.9,0.5
Food batchmakers,High school diploma or equivalent,19.5,40.8,22.3,8.0,7.0,1.7,0.7
Food cooking machine operators and tenders,High school diploma or equivalent,23.5,43.4,20.6,5.5,6.1,0.8,0.0
"Food processing workers, all other",No formal educational credential,25.4,43.5,20.6,5.0,4.8,0.5,0.2
"Extruding and drawing machine setters, operators, and tenders, metal and plastic(1)",High school diploma or equivalent,12.9,50.3,23.8,7.4,3.9,1.7,0.0
"Forging machine setters, operators, and tenders, metal and plastic(1)",High school diploma or equivalent,12.9,50.3,23.8,7.4,3.9,1.7,0.0
"Rolling machine setters, operators, and tenders, metal and plastic(1)",High school diploma or equivalent,12.9,50.3,23.8,7.4,3.9,1.7,0.0
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,17.3,52.0,20.1,6.8,3.2,0.4,0.3
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic(1)",High school diploma or equivalent,19.2,52.0,22.2,3.6,0.8,2.2,0.0
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent,22.6,50.6,17.4,5.1,3.7,0.4,0.2
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic(1)",High school diploma or equivalent,19.2,52.0,22.2,3.6,0.8,2.2,0.0
"Milling and planing machine setters, operators, and tenders, metal and plastic(1)",High school diploma or equivalent,19.2,52.0,22.2,3.6,0.8,2.2,0.0
Machinists,High school diploma or equivalent,9.7,44.6,28.5,12.7,4.2,0.3,0.2
Metal-refining furnace operators and tenders(1),High school diploma or equivalent,12.9,45.6,27.6,6.1,7.5,0.4,0.0
"Pourers and casters, metal(1)",High school diploma or equivalent,12.9,45.6,27.6,6.1,7.5,0.4,0.0
"Model makers, metal and plastic(1)",High school diploma or equivalent,14.6,46.2,24.0,8.6,5.3,1.2,0.1
"Patternmakers, metal and plastic(1)",High school diploma or equivalent,14.6,46.2,24.0,8.6,5.3,1.2,0.1
Foundry mold and coremakers(1),High school diploma or equivalent,14.6,46.2,24.0,8.6,5.3,1.2,0.1
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic(1)",High school diploma or equivalent,14.6,46.2,24.0,8.6,5.3,1.2,0.1
"Multiple machine tool setters, operators, and tenders, metal and plastic(1)",High school diploma or equivalent,18.5,48.2,21.1,6.6,4.8,0.7,0.1
Tool and die makers,Postsecondary nondegree award,5.5,40.3,36.0,13.8,3.2,0.7,0.5
"Welders, cutters, solderers, and brazers(1)",High school diploma or equivalent,18.6,46.3,23.4,8.7,2.5,0.4,0.2
"Welding, soldering, and brazing machine setters, operators, and tenders(1)",High school diploma or equivalent,18.6,46.3,23.4,8.7,2.5,0.4,0.2
"Heat treating equipment setters, operators, and tenders, metal and plastic(1)",High school diploma or equivalent,18.5,48.2,21.1,6.6,4.8,0.7,0.1
"Layout workers, metal and plastic(1)",High school diploma or equivalent,18.5,48.2,21.1,6.6,4.8,0.7,0.1
"Plating machine setters, operators, and tenders, metal and plastic(1)",High school diploma or equivalent,18.5,48.2,21.1,6.6,4.8,0.7,0.1
"Tool grinders, filers, and sharpeners(1)",High school diploma or equivalent,18.5,48.2,21.1,6.6,4.8,0.7,0.1
"Metal workers and plastic workers, all other(1)",High school diploma or equivalent,18.5,48.2,21.1,6.6,4.8,0.7,0.1
Prepress technicians and workers,Postsecondary nondegree award,4.9,38.1,23.7,14.8,15.8,2.1,0.6
Printing press operators,High school diploma or equivalent,12.0,45.1,23.8,9.0,8.7,0.9,0.5
Print binding and finishing workers,High school diploma or equivalent,15.7,43.0,23.0,10.5,7.6,0.2,0.0
Laundry and dry-cleaning workers,No formal educational credential,35.0,43.4,13.2,2.9,4.8,0.5,0.1
"Pressers, textile, garment, and related materials",No formal educational credential,42.1,38.6,12.6,3.9,1.7,1.1,0.0
Sewing machine operators,No formal educational credential,37.1,36.5,13.1,5.2,6.4,1.3,0.4
Shoe and leather workers and repairers(1),High school diploma or equivalent,30.2,36.7,17.7,6.7,7.3,1.1,0.2
Shoe machine operators and tenders(1),High school diploma or equivalent,30.2,36.7,17.7,6.7,7.3,1.1,0.2
"Sewers, hand(1)",No formal educational credential,24.7,32.1,17.5,7.0,15.7,2.5,0.4
"Tailors, dressmakers, and custom sewers(1)",No formal educational credential,24.7,32.1,17.5,7.0,15.7,2.5,0.4
Textile bleaching and dyeing machine operators and tenders(1),High school diploma or equivalent,27.2,45.0,15.4,5.6,3.4,3.4,0.0
"Textile cutting machine setters, operators, and tenders(1)",High school diploma or equivalent,27.2,45.0,15.4,5.6,3.4,3.4,0.0
"Textile knitting and weaving machine setters, operators, and tenders(1)",High school diploma or equivalent,27.2,45.0,15.4,5.6,3.4,3.4,0.0
"Textile winding, twisting, and drawing out machine setters, operators, and tenders(1)",High school diploma or equivalent,27.2,45.0,15.4,5.6,3.4,3.4,0.0
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)",High school diploma or equivalent,24.2,35.3,19.5,8.5,10.0,2.3,0.2
Fabric and apparel patternmakers(1),High school diploma or equivalent,24.2,35.3,19.5,8.5,10.0,2.3,0.2
Upholsterers,High school diploma or equivalent,33.5,38.8,15.9,6.9,3.8,1.1,0.1
"Textile, apparel, and furnishings workers, all other(1)",High school diploma or equivalent,24.2,35.3,19.5,8.5,10.0,2.3,0.2
Cabinetmakers and bench carpenters,High school diploma or equivalent,17.7,47.0,18.3,8.2,6.9,1.2,0.7
Furniture finishers,High school diploma or equivalent,28.9,36.0,21.7,6.1,4.5,2.3,0.6
"Model makers, wood(1)",High school diploma or equivalent,16.0,35.8,21.7,8.3,14.0,3.7,0.5
"Patternmakers, wood(1)",High school diploma or equivalent,16.0,35.8,21.7,8.3,14.0,3.7,0.5
"Sawing machine setters, operators, and tenders, wood",High school diploma or equivalent,34.4,44.7,11.8,4.4,2.4,2.1,0.1
"Woodworking machine setters, operators, and tenders, except sawing",High school diploma or equivalent,22.5,47.9,21.0,5.2,3.3,0.1,0.0
"Woodworkers, all other(1)",High school diploma or equivalent,16.0,35.8,21.7,8.3,14.0,3.7,0.5
Nuclear power reactor operators(1),High school diploma or equivalent,1.9,30.3,30.3,18.2,16.3,2.5,0.5
Power distributors and dispatchers(1),High school diploma or equivalent,1.9,30.3,30.3,18.2,16.3,2.5,0.5
Power plant operators(1),High school diploma or equivalent,1.9,30.3,30.3,18.2,16.3,2.5,0.5
Stationary engineers and boiler operators,High school diploma or equivalent,6.7,34.7,26.0,10.6,15.2,5.6,1.1
Water and wastewater treatment plant and system operators,High school diploma or equivalent,3.0,36.6,31.1,13.3,13.4,2.4,0.2
Chemical plant and system operators(1),High school diploma or equivalent,9.2,33.9,33.7,11.2,11.1,0.6,0.3
Gas plant operators(1),High school diploma or equivalent,9.2,33.9,33.7,11.2,11.1,0.6,0.3
"Petroleum pump system operators, refinery operators, and gaugers(1)",High school diploma or equivalent,9.2,33.9,33.7,11.2,11.1,0.6,0.3
"Plant and system operators, all other(1)",High school diploma or equivalent,9.2,33.9,33.7,11.2,11.1,0.6,0.3
Chemical equipment operators and tenders(1),High school diploma or equivalent,5.1,32.4,25.7,9.6,22.5,4.2,0.5
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders(1)",High school diploma or equivalent,5.1,32.4,25.7,9.6,22.5,4.2,0.5
"Crushing, grinding, and polishing machine setters, operators, and tenders(1)",High school diploma or equivalent,18.7,46.1,20.5,8.8,4.8,0.8,0.2
"Grinding and polishing workers, hand(1)",No formal educational credential,18.7,46.1,20.5,8.8,4.8,0.8,0.2
"Mixing and blending machine setters, operators, and tenders(1)",High school diploma or equivalent,18.7,46.1,20.5,8.8,4.8,0.8,0.2
"Cutters and trimmers, hand(1)",No formal educational credential,31.2,44.3,16.8,3.9,3.0,0.8,0.1
"Cutting and slicing machine setters, operators, and tenders(1)",High school diploma or equivalent,31.2,44.3,16.8,3.9,3.0,0.8,0.1
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",High school diploma or equivalent,16.6,52.2,17.8,6.4,4.5,2.0,0.5
"Furnace, kiln, oven, drier, and kettle operators and tenders",High school diploma or equivalent,7.5,45.5,29.1,8.3,9.4,0.2,0.0
"Inspectors, testers, sorters, samplers, and weighers",High school diploma or equivalent,9.0,36.3,26.0,11.4,13.6,3.1,0.7
Jewelers and precious stone and metal workers,High school diploma or equivalent,12.5,25.9,24.0,7.7,22.0,5.2,2.7
Dental laboratory technicians(1),High school diploma or equivalent,4.9,26.0,34.7,16.9,14.4,2.2,0.8
Medical appliance technicians(1),High school diploma or equivalent,4.9,26.0,34.7,16.9,14.4,2.2,0.8
Ophthalmic laboratory technicians(1),High school diploma or equivalent,4.9,26.0,34.7,16.9,14.4,2.2,0.8
Packaging and filling machine operators and tenders,High school diploma or equivalent,32.6,41.0,15.5,4.8,5.0,0.9,0.2
"Painting, coating, and decorating workers(1)",No formal educational credential,20.5,48.0,20.0,6.7,3.9,0.8,0.1
"Coating, painting, and spraying machine setters, operators, and tenders(1)",High school diploma or equivalent,20.5,48.0,20.0,6.7,3.9,0.8,0.1
Semiconductor processing technicians(1),High school diploma or equivalent,17.8,45.8,21.4,7.0,6.6,1.2,0.3
Photographic process workers and processing machine operators,High school diploma or equivalent,4.0,18.1,20.2,8.6,39.8,8.3,1.0
Computer numerically controlled tool operators(1),High school diploma or equivalent,9.0,38.0,30.1,14.1,7.6,0.9,0.3
Computer numerically controlled tool programmers(1),Postsecondary nondegree award,9.0,38.0,30.1,14.1,7.6,0.9,0.3
Adhesive bonding machine operators and tenders,High school diploma or equivalent,18.7,43.3,21.8,12.8,1.5,1.9,0.0
"Cleaning, washing, and metal pickling equipment operators and tenders(1)",High school diploma or equivalent,17.8,45.8,21.4,7.0,6.6,1.2,0.3
Cooling and freezing equipment operators and tenders(1),High school diploma or equivalent,17.8,45.8,21.4,7.0,6.6,1.2,0.3
Etchers and engravers,High school diploma or equivalent,13.3,28.1,24.1,8.6,23.8,2.1,0.0
"Molders, shapers, and casters, except metal and plastic",High school diploma or equivalent,22.5,30.3,19.7,7.3,15.5,3.4,1.3
"Paper goods machine setters, operators, and tenders",High school diploma or equivalent,16.2,46.8,21.1,11.0,4.9,0.2,0.0
Tire builders,High school diploma or equivalent,5.3,51.4,31.7,6.7,4.4,0.5,0.0
Helpers--production workers,High school diploma or equivalent,24.4,46.7,15.6,4.5,6.3,1.8,0.7
"Production workers, all other(1)",High school diploma or equivalent,17.0,45.2,22.1,7.6,6.7,1.1,0.3
Aircraft cargo handling supervisors(1),High school diploma or equivalent,7.0,35.6,29.6,10.8,13.5,2.9,0.5
"First-line supervisors of transportation and material-moving workers, except aircraft cargo handling supervisors(1)",High school diploma or equivalent,7.0,35.6,29.6,10.8,13.5,2.9,0.5
"Airline pilots, copilots, and flight engineers(1)",Bachelors degree,0.6,4.6,13.0,7.2,57.2,14.6,2.7
Commercial pilots(1),High school diploma or equivalent,0.6,4.6,13.0,7.2,57.2,14.6,2.7
Air traffic controllers(1),Associates degree,0.3,12.6,31.1,14.1,34.7,6.6,0.6
Airfield operations specialists(1),High school diploma or equivalent,0.3,12.6,31.1,14.1,34.7,6.6,0.6
Flight attendants,High school diploma or equivalent,0.6,14.1,31.9,11.1,36.0,5.0,1.2
"Ambulance drivers and attendants, except emergency medical technicians",High school diploma or equivalent,3.4,50.2,26.9,9.0,9.0,1.4,0.0
Driver/sales workers(1),High school diploma or equivalent,15.6,47.4,23.1,6.6,6.1,1.0,0.2
Heavy and tractor-trailer truck drivers(1),Postsecondary nondegree award,15.6,47.4,23.1,6.6,6.1,1.0,0.2
Light truck drivers(1),High school diploma or equivalent,15.6,47.4,23.1,6.6,6.1,1.0,0.2
"Bus drivers, transit and intercity",High school diploma or equivalent,8.5,42.3,28.8,9.2,9.0,1.8,0.3
"Passenger vehicle drivers, except bus drivers, transit and intercity(1)",No formal educational credential,10.6,36.2,26.8,8.7,13.5,3.2,0.9
"Motor vehicle operators, all other",No formal educational credential,11.6,37.9,27.1,9.1,11.2,2.5,0.5
Locomotive engineers(1),High school diploma or equivalent,1.6,37.6,36.5,10.3,11.8,1.8,0.3
"Rail yard engineers, dinkey operators, and hostlers(1)",High school diploma or equivalent,1.6,37.6,36.5,10.3,11.8,1.8,0.3
"Railroad brake, signal, and switch operators and locomotive firers(1)",High school diploma or equivalent,3.1,37.7,33.0,11.0,12.5,2.7,0.1
Railroad conductors and yardmasters,High school diploma or equivalent,2.2,39.4,34.6,10.6,12.0,1.2,0.0
Subway and streetcar operators(1),High school diploma or equivalent,3.1,37.7,33.0,11.0,12.5,2.7,0.1
"Rail transportation workers, all other(1)",High school diploma or equivalent,3.1,37.7,33.0,11.0,12.5,2.7,0.1
Sailors and marine oilers(1),No formal educational credential,7.2,43.7,24.7,6.1,14.4,3.7,0.3
"Captains, mates, and pilots of water vessels(1)",Postsecondary nondegree award,10.1,32.8,29.0,6.5,15.9,4.6,1.1
Motorboat operators(1),Postsecondary nondegree award,10.1,32.8,29.0,6.5,15.9,4.6,1.1
Ship engineers(1),Postsecondary nondegree award,7.2,43.7,24.7,6.1,14.4,3.7,0.3
Bridge and lock tenders(1),High school diploma or equivalent,3.9,39.1,25.2,13.2,15.5,2.8,0.3
Parking attendants,No formal educational credential,14.2,42.2,23.9,8.2,9.1,1.5,0.8
Automotive and watercraft service attendants(1),No formal educational credential,14.2,46.6,24.8,8.6,4.8,0.9,0.0
Traffic technicians(1),High school diploma or equivalent,3.9,39.1,25.2,13.2,15.5,2.8,0.3
Transportation inspectors,High school diploma or equivalent,5.8,27.9,30.6,14.1,17.9,3.0,0.7
Passenger attendants,High school diploma or equivalent,12.4,42.9,24.9,9.2,7.7,2.7,0.2
"Aircraft service attendants and transportation workers, all other(1)",High school diploma or equivalent,11.1,44.4,24.9,10.0,8.1,1.5,0.1
Conveyor operators and tenders(1),No formal educational credential,16.4,57.7,20.1,2.9,2.2,0.7,0.0
Crane and tower operators,High school diploma or equivalent,10.6,55.9,22.6,6.2,3.9,0.7,0.1
Dredge operators(1),High school diploma or equivalent,16.4,57.7,20.1,2.9,2.2,0.7,0.0
Hoist and winch operators(1),No formal educational credential,16.4,57.7,20.1,2.9,2.2,0.7,0.0
Industrial truck and tractor operators,No formal educational credential,19.6,50.8,20.5,5.4,3.1,0.4,0.2
Cleaners of vehicles and equipment,No formal educational credential,29.2,43.2,16.7,5.1,4.8,0.8,0.2
"Laborers and freight, stock, and material movers, hand",No formal educational credential,17.1,47.4,21.4,6.5,6.4,0.9,0.2
Machine feeders and offbearers,No formal educational credential,17.6,49.5,16.5,6.6,8.6,1.0,0.3
"Packers and packagers, hand",No formal educational credential,30.5,41.0,16.6,5.5,5.3,0.8,0.4
Stockers and order fillers,High school diploma or equivalent,12.7,43.0,24.7,8.3,9.5,1.5,0.4
Gas compressor and gas pumping station operators(1),High school diploma or equivalent,14.0,43.8,22.3,7.7,10.0,2.2,0.0
"Pump operators, except wellhead pumpers(1)",High school diploma or equivalent,14.0,43.8,22.3,7.7,10.0,2.2,0.0
Wellhead pumpers(1),High school diploma or equivalent,14.0,43.8,22.3,7.7,10.0,2.2,0.0
Refuse and recyclable material collectors,No formal educational credential,23.3,46.9,18.0,5.0,6.3,0.3,0.1
"Tank car, truck, and ship loaders(1)",No formal educational credential,19.8,48.2,19.1,6.2,5.7,0.8,0.1
"Material moving workers, all other(1)",No formal educational credential,19.8,48.2,19.1,6.2,5.7,0.8,0.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,